Id,Name,Code,City,Oceans insights code,Latitude,Longitude,Bigschedules,Created at,Updated at,Port type,Hub port,Ocean insights
1241,Shenwan,CNSNW,659,,22.302496,113.363816,P745,2007-06-30 12:11:55 +0200,2017-09-04 16:29:10 +0200,seaport,false,
58,Shenzhen,CNSZX,16,CNSZP,22.543096,114.057865,P106,2007-06-30 12:11:55 +0200,2017-08-26 04:52:24 +0200,seaport,false,
1243,Shidao,CNSHD,661,,36.878698,122.437361,P1783,2007-06-30 12:11:55 +0200,2017-09-02 20:03:26 +0200,seaport,false,
2631,Shijiazhuang (hebei),CNSJW,1972,,38.042805,114.514893,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1244,Shimizu ,JPSMZ,662,,37.8285615,-122.2493963,P260,2007-06-30 12:11:55 +0200,2017-08-08 19:59:05 +0200,seaport,false,
1245,Shimonoseki,JPSHS,663,,33.9578307,130.941459,P261,2007-06-30 12:11:55 +0200,2017-09-18 01:45:24 +0200,seaport,false,
1892,Shipu,CNXSP,1287,,29.202542,121.931606,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2702,Shreveport,USSHV,2041,,32.5251516,-93.7501789,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1611,Shuaiba Port,KWSAA,403,"",29.0447222,48.1591667,P270,2007-06-30 12:11:55 +0200,2018-05-31 16:04:24 +0200,seaport,false,
2632,Shuang cheng,CNSAC,1973,,45.383263,126.3127449,C2420644,2007-06-30 12:11:55 +0200,2017-11-27 09:07:30 +0100,seaport,false,
1246,Shui Dong,CNSDG,664,,25.8590764,114.9701526,P108,2007-06-30 12:11:55 +0200,2017-09-04 16:29:14 +0200,seaport,false,
1248,Shunde,CNSUD,666,,22.80524,113.293359,P109,2007-06-30 12:11:55 +0200,2017-07-04 06:16:03 +0200,seaport,false,
